time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth	yaw_ground_truth	yaw_rate_ground_truth	rmse_x	rmse_y	rmse_vx	rmse_vy
1477010446500000	17.3443	5.50117	5.19508	0.864163	0.430117	lidar	0.470785	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028	0.804038	0.428154	0.227577	0.123643	1.15249	0.409703
1477010446550000	17.3443	5.50117	5.19508	0.864163	0.430117	radar	0	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949	0.825446	0.432459	0.226753	0.122922	1.14446	0.408503
1477010446600000	17.7357	5.78891	5.12626	0.835106	0.323538	lidar	2.27308	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762	0.847069	0.436695	0.225335	0.123398	1.13675	0.40584
1477010446650000	17.7357	5.78891	5.12626	0.835106	0.323538	radar	0	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458	0.868904	0.440862	0.224074	0.122623	1.12942	0.4031
1477010446700000	18.0931	6.16793	5.14507	0.856608	0.307006	lidar	0.0793581	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027	0.890947	0.444959	0.222911	0.123115	1.12228	0.400441
1477010446750000	18.0931	6.16793	5.14507	0.856608	0.307006	radar	0	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462	0.913195	0.448987	0.221505	0.122382	1.11562	0.397803
1477010446800000	18.3361	6.6131	5.11222	0.945215	0.394098	lidar	1.31479	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753	0.935644	0.452943	0.220128	0.123913	1.10838	0.395723
1477010446850000	18.3361	6.6131	5.11222	0.945215	0.394098	radar	0	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289	0.958291	0.456828	0.218986	0.123121	1.1014	0.393394
1477010446900000	18.6128	6.93873	4.96485	0.95583	0.353341	lidar	2.42034	18.5422	6.76013	18.572	6.80638	2.7356	4.08867	0.981133	0.46064	0.217644	0.123242	1.0945	0.390915
1477010446950000	18.6128	6.93873	4.96485	0.95583	0.353341	radar	0	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672	1.00417	0.46438	0.216533	0.122746	1.08794	0.388598
1477010447000000	19.0018	7.27132	4.97572	0.912049	0.235252	lidar	2.24277	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299	1.02738	0.468047	0.21598	0.122113	1.08267	0.387342
1477010447050000	19.0018	7.27132	4.97572	0.912049	0.235252	radar	0	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737	1.05079	0.47164	0.214708	0.122669	1.07814	0.38662
1477010447100000	19.174	7.75908	4.97137	1.02827	0.373141	lidar	3.02722	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098	1.07437	0.475158	0.213661	0.122546	1.07193	0.384326
1477010447150000	19.174	7.75908	4.97137	1.02827	0.373141	radar	0	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017	1.09813	0.478601	0.212396	0.122351	1.06616	0.382196
1477010447200000	19.31	8.18635	4.85382	1.11948	0.454812	lidar	2.44422	19.132	8.12845	19.3028	8.08329	2.12266	4.40842	1.12206	0.481969	0.211145	0.122141	1.05987	0.379967
1477010447250000	19.31	8.18635	4.85382	1.11948	0.454812	radar	0	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445	1.14615	0.48526	0.21017	0.122101	1.05375	0.377866
1477010447300000	19.4642	8.52726	4.65535	1.15795	0.448554	lidar	3.96818	19.347	8.30741	19.5042	8.5289	1.90381	4.49819	1.17042	0.488475	0.209003	0.121397	1.04768	0.376525
1477010447350000	19.4642	8.52726	4.65535	1.15795	0.448554	radar	0	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956	1.19484	0.491613	0.208291	0.123122	1.04174	0.375528
1477010447400000	19.7922	8.914	4.71662	1.10939	0.309846	lidar	3.48517	20.0039	8.8906	19.6835	8.983	1.67841	4.57848	1.21942	0.494673	0.207438	0.122646	1.03684	0.375305
1477010447450000	19.7922	8.914	4.71662	1.10939	0.309846	radar	0	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488	1.24416	0.497655	0.206303	0.125968	1.03261	0.375489
1477010447500000	20.0548	9.36952	4.81745	1.11662	0.273509	lidar	1.22734	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869	1.26904	0.500558	0.2064	0.125521	1.0293	0.37492
1477010447550000	20.0548	9.36952	4.81745	1.11662	0.273509	radar	0	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984	1.29407	0.503383	0.205836	0.128912	1.02695	0.374666
1477010447600000	20.2112	9.84435	4.84562	1.18167	0.328412	lidar	0.545372	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826	1.31923	0.506127	0.206213	0.128413	1.02349	0.373375
1477010447650000	20.2112	9.84435	4.84562	1.18167	0.328412	radar	0	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389	1.34454	0.508793	0.20596	0.131534	1.02095	0.372282
1477010447700000	20.2845	10.3636	4.88477	1.28943	0.437398	lidar	1.98039	20.166	10.4687	20.0818	10.3863	0.968259	4.75666	1.36998	0.511377	0.205927	0.130861	1.01635	0.370375
1477010447750000	20.2845	10.3636	4.88477	1.28943	0.437398	radar	0	19.6775	10.803	20.1271	10.6247	0.845742	4.77652	1.39555	0.513881	0.205481	0.132877	1.01238	0.368541
1477010447800000	20.3844	10.893	4.96925	1.36061	0.475866	lidar	0.949785	20.371	11.0109	20.1663	10.864	0.722256	4.7934	1.42124	0.516304	0.205614	0.132223	1.00766	0.366698
1477010447850000	20.3844	10.893	4.96925	1.36061	0.475866	radar	0	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727	1.44706	0.518645	0.205415	0.133264	1.00348	0.364861
1477010447900000	20.4077	11.3762	4.92693	1.44715	0.533809	lidar	0.685873	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807	1.47299	0.520904	0.205188	0.132627	0.998492	0.363084
1477010447950000	20.4077	11.3762	4.92693	1.44715	0.533809	radar	0	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575	1.49904	0.523081	0.204793	0.13362	0.993829	0.36132
1477010448000000	20.5227	11.8837	4.98826	1.46342	0.477813	lidar	0.846832	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027	1.52519	0.525176	0.205437	0.133074	0.989391	0.359757
1477010448050000	20.5227	11.8837	4.98826	1.46342	0.477813	radar	0	19.966	11.9688	20.2687	12.0692	0.093487	4.83159	1.55145	0.527187	0.20597	0.133688	0.985498	0.358213
1477010448100000	20.4551	12.4212	5.03075	1.58043	0.578189	lidar	1.7569	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968	1.57781	0.529115	0.205776	0.133482	0.980703	0.357019
1477010448150000	20.4551	12.4212	5.03075	1.58043	0.578189	radar	0	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451	1.60426	0.53096	0.205629	0.133458	0.97604	0.355872
1477010448200000	20.4642	12.912	5.0175	1.62066	0.552744	lidar	0.119601	20.498	12.8924	20.254	12.7933	-0.28939	4.81605	1.63081	0.532721	0.205673	0.133326	0.971388	0.354685
1477010448250000	20.4642	12.912	5.0175	1.62066	0.552744	radar	0	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428	1.65745	0.534397	0.205894	0.133222	0.966932	0.35358
1477010448300000	20.3226	13.3382	4.8806	1.73545	0.644247	lidar	3.13744	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918	1.68417	0.53599	0.205207	0.132745	0.962718	0.351933
1477010448350000	20.3226	13.3382	4.8806	1.73545	0.644247	radar	0	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072	1.71097	0.537498	0.204704	0.133193	0.958328	0.350325
1477010448400000	20.2712	13.8382	4.91862	1.77312	0.603677	lidar	0.400679	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892	1.73784	0.53892	0.204122	0.132844	0.954091	0.348778
1477010448450000	20.2712	13.8382	4.91862	1.77312	0.603677	radar	0	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374	1.76479	0.540258	0.203833	0.133005	0.949762	0.347306
1477010448500000	20.1423	14.3212	4.9334	1.84265	0.616725	lidar	0.0492757	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521	1.7918	0.54151	0.203093	0.13273	0.945821	0.34578
1477010448550000	20.1423	14.3212	4.9334	1.84265	0.616725	radar	0	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331	1.81888	0.542677	0.202656	0.132761	0.941687	0.344336
1477010448600000	19.9005	14.7796	4.94775	1.96207	0.701472	lidar	1.14557	19.781	14.773	19.934	14.6897	-1.30687	4.62805	1.84601	0.543759	0.201781	0.132443	0.939097	0.342847
