time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth	rmse_x	rmse_y	rmse_vx	rmse_vy
1477010445050000	11.1144	1.62483	5.09528	0.290548	0.225219	radar	2.07013	11.4783	1.42876	11.0979	1.637	4.8844	1.46213	0.0616267	0.0745675	0.981753	0.634107
1477010445100000	11.3953	1.66097	5.1287	0.27754	0.190803	lidar	2.1284	11.587	1.61462	11.3416	1.71179	4.85948	1.52832	0.0614542	0.0741018	0.970334	0.626971
1477010445150000	11.6266	1.72001	5.0816	0.283793	0.188456	radar	0.932043	11.4763	1.53917	11.584	1.78992	4.83313	1.59551	0.06109	0.0740093	0.959269	0.620352
1477010445200000	11.8576	1.7793	5.06128	0.287996	0.181466	lidar	0.386951	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366	0.0606013	0.0744603	0.948577	0.614346
1477010445250000	12.1123	1.87118	5.11933	0.303276	0.186871	radar	1.33268	12.136	2.14937	12.0647	1.95639	4.77598	1.73273	0.0603481	0.0747106	0.938349	0.608374
1477010445300000	12.3574	1.89091	5.09702	0.282527	0.145485	lidar	0.83909	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265	0.0602294	0.0772457	0.92857	0.604437
1477010445350000	12.6135	1.94936	5.14036	0.279302	0.127947	radar	0.97248	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338	0.0605493	0.0810819	0.919439	0.601722
1477010445400000	12.8123	2.08798	5.10969	0.326448	0.184244	lidar	3.20951	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485	0.0601737	0.0828551	0.9103	0.597156
1477010445450000	13.0781	2.19572	5.20195	0.341134	0.185608	radar	3.41876	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701	0.0604015	0.0842356	0.901899	0.592447
1477010445500000	13.2805	2.33926	5.17554	0.384572	0.232699	lidar	2.38618	13.0875	2.40708	13.2388	2.43409	4.605	2.08981	0.060091	0.0844561	0.89342	0.586977
1477010445550000	13.4582	2.49606	5.06919	0.441462	0.304821	radar	10.6106	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317	0.0595264	0.0838665	0.884791	0.581306
1477010445600000	13.7084	2.60526	5.09634	0.452826	0.299079	lidar	0.866717	13.836	2.62479	13.6955	2.65053	4.52448	2.23703	0.0589889	0.0833039	0.876441	0.575796
1477010445650000	13.9273	2.72236	5.07804	0.472681	0.307865	radar	0.175174	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134	0.0584469	0.082726	0.868304	0.57044
1477010445700000	14.1557	2.873	5.10246	0.503891	0.328828	lidar	0.457662	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601	0.0579352	0.0819791	0.860385	0.565327
1477010445750000	14.4064	2.97925	5.16774	0.498968	0.289526	radar	1.61617	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099	0.0576869	0.081306	0.852898	0.560259
1477010445800000	14.6157	3.04425	5.10909	0.487612	0.255873	lidar	2.36472	14.4616	2.90734	14.583	3.12802	4.34097	2.5362	0.0573425	0.0813499	0.845692	0.555644
1477010445850000	14.846	3.1987	5.17038	0.511013	0.263388	radar	3.73306	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157	0.0571815	0.0810054	0.838866	0.55094
1477010445900000	15.0521	3.39287	5.19625	0.559355	0.310397	lidar	0.962964	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703	0.0569329	0.0803173	0.83201	0.546328
1477010445950000	15.2614	3.56479	5.18661	0.596353	0.345305	radar	2.43086	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249	0.0566755	0.0798055	0.825167	0.542104
1477010446000000	15.4748	3.74999	5.21633	0.630969	0.368	lidar	0.520959	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789	0.0564926	0.0798806	0.81845	0.538515
1477010446050000	15.6866	3.88486	5.2028	0.639266	0.354748	radar	1.04632	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315	0.0564087	0.0798086	0.81194	0.534705
1477010446100000	15.9103	4.02203	5.20449	0.644288	0.337708	lidar	0.289013	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817	0.0567059	0.0795931	0.805708	0.530728
1477010446150000	16.104	4.19041	5.16242	0.676932	0.370987	radar	1.73322	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629	0.0568936	0.0796291	0.799454	0.526998
1477010446200000	16.3016	4.38282	5.18667	0.708448	0.387712	lidar	0.289294	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723	0.0571122	0.0803853	0.793317	0.523758
1477010446250000	16.5119	4.54697	5.20407	0.719298	0.373302	radar	0.686444	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109	0.0576986	0.0812337	0.787391	0.520465
1477010446300000	16.6913	4.71173	5.18197	0.73828	0.374257	lidar	0.473919	16.6039	4.67344	16.613	4.5849	3.74	3.28438	0.0580596	0.0821007	0.781575	0.517162
1477010446350000	16.8399	4.91481	5.10156	0.796588	0.453573	radar	4.29998	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704	0.0578515	0.0838803	0.775904	0.514552
1477010446400000	17.0038	5.13718	5.12864	0.837973	0.477649	lidar	0.375041	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897	0.0575024	0.0872508	0.770512	0.512888
1477010446450000	17.1728	5.31137	5.10021	0.857807	0.477583	radar	1.7654	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008	0.0571181	0.0904344	0.765297	0.511004
1477010446500000	17.3336	5.4871	5.07707	0.875456	0.470096	lidar	0.255161	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028	0.0567148	0.093388	0.760213	0.508884
1477010446550000	17.4885	5.66091	5.03284	0.896994	0.475992	radar	3.26	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949	0.0563418	0.0959713	0.755355	0.506519
1477010446600000	17.6862	5.77573	4.97492	0.876931	0.420546	lidar	2.20037	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762	0.0559957	0.0967233	0.750246	0.503225
1477010446650000	17.8269	5.97777	4.94559	0.915092	0.456383	radar	0.95002	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458	0.055617	0.0977546	0.74544	0.500098
1477010446700000	18.0032	6.16205	4.95265	0.924087	0.438201	lidar	0.825687	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027	0.0552761	0.0986205	0.740584	0.496922
1477010446750000	18.1518	6.37173	4.96893	0.948367	0.439863	radar	0.658704	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462	0.0549273	0.0997881	0.735821	0.493876
