time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth	rmse_x	rmse_y	rmse_vx	rmse_vy
1477010446500000	17.4905	5.32819	5.10533	0.730457	0.292901	lidar	2.79992	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028	0.0980999	0.114432	0.822537	0.509871
1477010446550000	17.6668	5.49764	5.09728	0.748481	0.297077	radar	5.57892	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949	0.0993357	0.113766	0.818005	0.506717
1477010446600000	17.8472	5.66729	5.09374	0.762913	0.29699	lidar	0.274301	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762	0.100861	0.113047	0.813768	0.503713
1477010446650000	18.0122	5.85986	5.08829	0.7865	0.305101	radar	5.32288	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458	0.102399	0.112365	0.809604	0.500701
1477010446700000	18.1758	6.06779	5.09006	0.809626	0.310277	lidar	0.724415	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027	0.10402	0.111795	0.805557	0.497673
1477010446750000	18.3359	6.26812	5.08763	0.832133	0.316303	radar	2.63387	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462	0.105743	0.111283	0.801621	0.49466
1477010446800000	18.4595	6.50941	5.08548	0.866061	0.328606	lidar	4.5021	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753	0.106841	0.111217	0.797516	0.491553
1477010446850000	18.6054	6.71805	5.08175	0.890416	0.335769	radar	3.05004	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289	0.107939	0.111262	0.79347	0.488473
1477010446900000	18.7458	6.90379	5.07086	0.907652	0.336798	lidar	3.00359	18.5422	6.76013	18.572	6.80638	2.7356	4.08867	0.109021	0.111098	0.789627	0.485483
1477010446950000	18.8937	7.10982	5.06969	0.92742	0.339422	radar	0.387469	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672	0.110342	0.110938	0.78597	0.482546
